id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,rating,reviews,name
0d199a8f1a,31000,lenovo,V14 Celeron,2.0,4,14.0,256,2,,0.0,0,"Lenovo V14 Celeron | 4GB RAM | 256GB SSD | 14"" HD Display Laptop"
07aa666d84,93000,dell,Inspirion 3501,5.0,8,15.6,512,4,,0.0,0,"Dell Inspirion 3501 i5 11th Gen 8GB RAM 512GB SSD Nvidia MX330 2GB 15.6"" FHD Display"
399d227610,69999,hp,Notebook 14,3.0,4,15.6,256,4,2800.0,0.0,0,"HP Notebook 14-FQ1051AU Ryzen 3 5300U / 4GB RAM / 256GB SSD / 14"" FHD Display"
ff4f44d731,88000,dell,"VOSTRO 14""",5.0,8,14.0,512,10,1500.0,0.0,0,"DELL VOSTRO 14""-3430 | 13th gen I5-1335U |8GB | 512 SSD | 1yrs warranty"
e013314d73,155000,acer,Nitro 16,7.0,16,15.6,1024,8,4050.0,0.0,0,Acer Nitro 16 (13th Gen Intel Core i7 13620H Processor | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 16-inch WUXGA (1920 x 1200) 165Hz Display | 4-Zone RGB Keyboard
2fb1518efb,67000,acer,Aspire 5,3.0,4,15.6,256,1,,0.0,0,"Acer Aspire 5 2022 12th Gen i3 / 4GB RAM / 256GB SSD / 15.6"" FHD Display Backlight Keyboard"
9860fa1500,36500,dell,Wyse 5470,2.0,8,14.0,256,4,1500.0,0.0,0,Dell Wyse 5470 (Intel Celeron Processor | 8GB RAM | 256GB SSD Storage | Intel UHD Graphics | 14″ FHD Display)
8851e6bd9e,97000,hp,15 255,7.0,8,15.6,512,8,2000.0,0.0,0,HP 15 255 G8 With Ryzen 7 5700U Processor 15.6 Inch FHD Display 8GB RAM 512GB ROM
69d9acee9c,86000,acer,Aspire 5,7.0,8,15.6,512,8,,0.0,0,"Acer Aspire 5 i7 13th Gen | 8GB DDR5 RAM | 512GB NVMe SSD | 15.6"" FHD Display Laptop"
c80642232c,80000,acer,Aspire 5,5.0,8,15.6,512,8,,0.0,0,Acer Aspire 5 2022 Intel Core I5 12 Gen 8 GB RAM/256 GB 15.6 inch Display - OTE
37511423e7,48000,lenovo,IdeaPad L3,2.0,4,15.6,256,1,1500.0,0.0,0,"Lenovo IdeaPad L3 15ITL6 Celeron 10th Gen / 4GB RAM / 256GB SSD / 15.6"" FHD Display"
